number,time
10,0.3962728977203369
30,1.3924648761749268
50,2.6381421089172363
70,3.314302921295166
90,4.296186208724976
110,5.488740921020508
130,6.2542431354522705
150,10.108958005905151
170,7.919727087020874
190,9.228068113327026
210,9.627019882202148
230,10.212419748306274
250,11.064228057861328
270,11.885140895843506
290,12.599819660186768
310,14.7606840133667
330,16.063152074813843
350,16.297402143478394
370,16.29444694519043
390,19.078114986419678
410,20.090358018875122
430,20.342556953430176
450,22.247204780578613
470,22.85340905189514
490,23.98366403579712
510,24.090221166610718
530,25.188122272491455
550,35.299094915390015
570,26.69266700744629
590,28.57735300064087
610,28.795814990997314
630,26.403035163879395
650,28.610670804977417
670,30.129726886749268
690,32.39736986160278
710,32.233667850494385
730,32.52895188331604
750,32.92871904373169
770,40.25616121292114
790,39.06543326377869
