10,192
30,29
50,30
70,39
90,39
110,53
130,61
150,57
170,66
190,80
210,160
230,81
250,94
270,103
290,104
310,96
330,91
350,101
370,159
390,99
410,104
430,99
450,106
470,106
490,158
510,145
530,107
550,109
570,117
590,131
610,115
630,173
650,187
670,145
690,119
710,126
730,132
750,132
770,154
790,132
810,144
830,169
850,130
870,150
890,121
910,195
930,1093
950,132
970,147
990,146
1010,155
1030,177
1050,164
1070,145
1090,747
1110,176
1130,156
1150,151
1170,195
1190,172
1210,174
1230,256
1250,183
1270,182
1290,187
1310,199
1330,187
1350,198
1370,173
1390,181
1410,223
1430,229
1450,292
1470,207
1490,192
1510,203
1530,212
1550,194
1570,193
1590,216
