number,time
10,0.07198309898376465
30,0.2797689437866211
50,0.10944104194641113
70,0.3030362129211426
90,0.21635198593139648
110,0.2661020755767822
130,0.9143209457397461
150,0.3583710193634033
170,0.42081212997436523
190,0.7117750644683838
210,1.332751750946045
230,1.0662508010864258
250,0.9777369499206543
270,0.7873387336730957
290,1.824343204498291
310,1.5865309238433838
330,2.290026903152466
350,2.0593819618225098
370,2.510321855545044
390,2.3760550022125244
410,1.5021162033081055
430,1.497385025024414
450,2.5701181888580322
470,1.4908509254455566
490,1.860548734664917
510,1.9201419353485107
530,1.687134027481079
550,1.9582970142364502
570,1.5959889888763428
590,1.823695182800293
610,2.0709590911865234
630,2.297558069229126
650,2.186699151992798
670,2.4554598331451416
690,2.1178832054138184
710,3.721204996109009
730,2.1553871631622314
750,2.163541078567505
770,2.7629730701446533
790,2.0636110305786133
